CARRIER,DEP_DELAY_NEW,ARR_DELAY_NEW,CANCELLED,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
AA,11.92,12.6,0.01,3.33,14.41,0.12,21.89
AS,6.19,7.16,0.0,1.65,14.86,0.25,16.11
B6,15.52,15.61,0.01,2.05,16.03,0.19,25.52
DL,9.99,9.47,0.0,4.62,15.37,0.04,19.29
EV,13.05,13.81,0.03,1.51,15.71,0.0,25.24
F9,17.05,18.01,0.01,1.06,22.23,0.0,29.63
HA,4.21,5.53,0.0,1.45,0.91,0.08,13.9
MQ,13.43,14.67,0.05,6.64,15.37,0.12,23.4
NK,17.32,18.11,0.02,1.11,32.53,0.13,17.61
OO,11.65,12.43,0.02,2.82,13.28,0.08,27.52
UA,15.17,13.47,0.01,3.22,16.03,0.02,26.61
US,9.15,10.77,0.02,1.93,16.47,0.17,14.31
VX,12.61,13.31,0.01,2.9,20.65,0.2,21.91
WN,11.53,10.7,0.01,2.27,7.63,0.07,26.07
