AIRPORT,Count
ATL,1527549
ORD,1115021
DFW,913290
DEN,880687
LAX,850791
SFO,669070
PHX,637770
IAH,593927
LAS,593145
SEA,507831
MSP,503834
MCO,491501
DTW,484822
BOS,478536
EWR,454608
CLT,441154
SLC,429603
LGA,409501
JFK,399685
BWI,380635
MDW,352611
FLL,325451
DCA,316829
SAN,309202
PHL,290551
MIA,289905
TPA,274026
DAL,269187
HOU,221928
PDX,220612
STL,213678
BNA,207447
OAK,190284
HNL,188477
AUS,184711
MSY,171952
MCI,171620
SJC,167516
SNA,166618
SMF,164184
CLE,143834
IAD,143453
RDU,139724
MKE,130096
SAT,126520
RSW,116742
IND,109544
SJU,106793
PIT,103100
CMH,99027
PBI,97200
OGG,91554
BUR,86367
BDL,81664
ABQ,79946
ONT,78725
JAX,76806
CVG,74957
BUF,72877
OMA,72446
ANC,68977
OKC,66964
RIC,65855
TUS,65028
MEM,60830
TUL,58557
RNO,56678
CHS,55402
BOI,55049
BHM,51922
PVD,49688
KOA,48785
ELP,48735
LIH,46510
ORF,42744
SDF,41974
GRR,41973
LGB,41433
GEG,40751
LIT,39722
PSP,39446
ALB,35080
MSN,35007
DSM,33768
ICT,33315
XNA,32004
FAT,31979
DAY,31847
COS,31563
ROC,31134
SAV,31055
HPN,30600
TYS,29617
BTR,29453
GSP,28661
MAF,27964
MHT,27167
GSO,26842
PNS,25971
JAN,25905
SHV,25200
SBA,25130
ITO,24567
SYR,24260
CAK,23813
CID,23644
LEX,23474
PWM,23057
MYR,22182
MOB,20724
FAR,20395
SBN,20360
CAE,20034
FSD,20009
FWA,19919
LBB,19296
STT,19181
SGF,19131
VPS,18985
ISP,18930
CHA,18425
GRB,18207
ECP,18114
FNT,18071
JNU,18022
HSV,17959
LFT,17349
ASE,16458
CRP,16435
BZN,16381
PIA,16184
JAC,15196
AMA,15190
ACY,15025
EUG,14993
BTV,14741
GPT,14114
EVV,13946
SRQ,13915
MLI,13226
SBP,13151
BIL,13085
RAP,13015
ATW,12979
PSC,12904
AVL,12850
GJT,12739
HRL,12686
GRK,12667
MLU,12626
AEX,12577
BIS,12344
MDT,12240
TLH,12078
LNK,11959
MGM,11858
MFE,11737
MRY,11521
MFR,11364
BFL,10846
AGS,10451
TTN,10440
GNV,10408
TVC,10378
CRW,10323
RDM,10280
KTN,9962
IDA,9862
MSO,9857
ABE,9765
CHO,9690
FAI,9687
ROA,9441
ILM,9315
BRO,9221
LRD,9059
FCA,9037
LAN,9010
BMI,8971
DLH,8843
ISN,8810
TRI,8496
DRO,8416
ELM,8172
SGU,8119
AZO,8089
YUM,8029
GTF,7970
EYW,7746
MBS,7715
MOT,7428
CLL,7333
FLG,7328
DAB,7184
FAY,6969
SPI,6950
RST,6900
CPR,6772
LCH,6643
BQN,6624
FSM,6609
HLN,6506
ACT,6358
AVP,6280
EGE,5936
MLB,5931
TYR,5881
ACV,5718
SAF,5618
SIT,5610
SJT,5574
DHN,5510
ABI,5380
LAW,5190
LSE,5134
OAJ,5036
PHF,5009
LBE,4887
CSG,4829
CWA,4740
GFK,4725
CMI,4643
SUN,4567
SPS,4406
GCC,4248
STX,4238
MTJ,4212
RHI,4169
VLD,4103
GTR,4057
BQK,3991
MEI,3967
HIB,3945
ABY,3931
BET,3916
TWF,3895
TXK,3841
PLN,3831
BRW,3752
JMS,3654
MHK,3572
RDD,3560
SCC,3540
HDN,3497
SCE,3446
PSE,3353
PIH,3273
COD,3236
BPT,3213
ERI,3101
ROW,3011
SWF,2975
ABR,2970
CMX,2936
BJI,2918
PSG,2908
WRG,2908
ORH,2907
OTZ,2900
OME,2898
YAK,2897
CDV,2897
COU,2862
EAU,2826
PAH,2824
MKG,2824
RKS,2814
BTM,2814
CIU,2713
LWS,2711
IMT,2710
EWN,2663
BLI,2634
SMX,2565
BRD,2565
APN,2536
LAR,2521
INL,2510
PIB,2506
ESC,2505
HYS,2504
CDC,2504
HOB,2492
EKO,2447
BGM,2403
DVL,2348
JLN,2318
GCK,2303
ACK,2264
GGG,2169
TOL,2099
ADQ,2066
MQT,2055
DBQ,2030
GRI,2023
BGR,2002
DIK,1997
ITH,1877
IAG,1484
GUC,1476
GUM,1464
SUX,1354
ALO,1348
PBG,1331
CLD,1281
OTH,1222
MVY,928
WYS,864
UST,728
MMH,546
PUB,528
PPG,474
ADK,418
CNY,412
VEL,411
HYA,408
CEC,380
DLG,322
GST,322
AKN,252
ILG,198
PGD,166
STC,165
SPN,2
EFD,1
BFF,1
ENV,1
