AIRPORT,ARR_DELAY_NEW,DEP_DELAY_NEW,Per_arr_delay,Per_dep_delay
ATL,10.458166619978119,10.613673277173662,-12.647658042854514,-11.525559586592719
ORD,14.860180616707598,15.547040013194184,24.12037653864642,29.598455627088665
DFW,14.161422754727836,13.609648780291892,18.28396773748048,13.448570406717852
DEN,11.706411768643573,12.686008260703767,-2.221630132352477,5.749202244570219
LAX,13.731928778160665,13.422723421826388,14.696598548127456,11.890380696386492
SFO,16.562735400245014,14.052694890192466,38.341047623407285,17.14175519082951
PHX,10.071551857916056,10.302449669509057,-15.8768765214368,-14.119886151250283
IAH,12.310514211176713,12.773607550051825,2.824164704812977,6.47942051144958
LAS,10.967153954994423,12.749256945647485,-8.39631673650484,6.27643648865743
SEA,9.754125837549976,8.89239227962829,-18.528192692298457,-25.873973097641723
MSP,11.337886159328889,9.905265554414989,-5.299758088673853,-17.430770272736993
MCO,12.914515038028146,13.612345039197782,7.8691107920876275,13.471046131349532
DTW,11.462768440709617,11.426088838211916,-4.2566728000230745,-4.753350732134335
BOS,13.592395378953109,12.08302085724732,13.531139089990921,0.7227640168288559
EWR,16.56657964631904,15.94734296459697,38.373156874467035,32.93533803304756
CLT,9.191281511155674,10.567791603504418,-23.229377121117317,-11.90802429010373
SLC,8.632268367614552,8.014032858564295,-27.898561410059646,-33.19588288617965
LGA,17.84973811339944,16.077150885420878,49.090799963791646,34.01740291823888
JFK,16.442385308929858,14.966734582924735,37.33581767124218,24.761091891541014
BWI,10.190217478662015,12.90494428597374,-14.885716191082485,7.574229435086349
